original_date,product_code,pk,data_type,event_date,temp_min_c,temp_max_c,rainfall_mm,evaporation_mm,sunshine_hrs,wind_gust_direction,wind_gust_speed_max_kmh,time_wind_gust_max_speed_kmh,time_0900_temp_c,time_0900_humidity_pct,time_0900_cloud_amount_oktas,time_0900_wind_direction,time_0900_wind_speed_kmh,time_0900_pressure_msl_hpa,time_1500_temp_c,time_1500_humidity_pct,time_1500_cloud_amount_oktas,time_1500_wind_direction,time_1500_wind_speed_kmh,time_1500_pressure_msl_hpa
2019-09-1,IDCJDW6051,weather_summary-2019-09-01,weather_summary,2019-09-01,12.9,19,0.4,,3.4,,,,15.9,81,6,N,13,1011.3,,,,,,1011.1
2019-09-2,IDCJDW6051,weather_summary-2019-09-02,weather_summary,2019-09-02,9.5,20.5,0,,5.9,,,,14,83,3,NE,2,1016.5,17,80,4,W,9,1015
2019-09-3,IDCJDW6051,weather_summary-2019-09-03,weather_summary,2019-09-03,10.5,18,0,,6.9,,,,13.1,93,4,S,2,1018.6,18,49,5,W,13,1017.8
2019-09-4,IDCJDW6051,weather_summary-2019-09-04,weather_summary,2019-09-04,11,16.5,0,,4.2,,,,14,67,7,SW,15,1021.6,16,55,6,SW,11,1021.9
2019-09-5,IDCJDW6051,weather_summary-2019-09-05,weather_summary,2019-09-05,4.5,17.5,0,,10.2,,,,10,62,0,SE,22,1026.9,16.5,38,0,N,11,1023.8
2019-09-6,IDCJDW6051,weather_summary-2019-09-06,weather_summary,2019-09-06,5,20.8,0,,10.6,,,,13.5,46,0,NE,19,1024.5,20,40,0,S,7,1021
2019-09-7,IDCJDW6051,weather_summary-2019-09-07,weather_summary,2019-09-07,4,21.6,0,,10.5,,,,9.2,78,0, ,Calm,1024.8,,,,,,1022.6
2019-09-8,IDCJDW6051,weather_summary-2019-09-08,weather_summary,2019-09-08,5.4,26.5,0,,10.6,,,,14.5,75,0,W,2,1026.2,,,,,,1021.6
2019-09-9,IDCJDW6051,weather_summary-2019-09-09,weather_summary,2019-09-09,12.1,33,0,,10.6,,,,22.5,70,0, ,Calm,1019,32,79,0,NE,11,1014.5
2019-09-10,IDCJDW6051,weather_summary-2019-09-10,weather_summary,2019-09-10,11,29.5,0,,10.4,,,,20,86,0,SW,4,1016.5,24.5,96,0,W,15,1015.3
2019-09-11,IDCJDW6051,weather_summary-2019-09-11,weather_summary,2019-09-11,14,24,0,,9.5,,,,17.5,95,2,NE,11,1022.5,22.6,95,0,W,11,1022.3
2019-09-12,IDCJDW6051,weather_summary-2019-09-12,weather_summary,2019-09-12,12,26,0,,10.4,,,,21.5,86,0,NE,15,1024.3,,,,,,1023.4
2019-09-13,IDCJDW6051,weather_summary-2019-09-13,weather_summary,2019-09-13,12.5,27.5,0,,10,,,,20,81,0,S,11,1024,27,70,3,W,19,1021
2019-09-14,IDCJDW6051,weather_summary-2019-09-14,weather_summary,2019-09-14,14.9,25.6,0,,8.6,,,,20.2,85,6,SW,11,1023.7,,,,,,1021.4
2019-09-15,IDCJDW6051,weather_summary-2019-09-15,weather_summary,2019-09-15,12,23.5,0,,10,,,,15.5,85,1,SW,4,1024.9,,,,,,1022
2019-09-16,IDCJDW6051,weather_summary-2019-09-16,weather_summary,2019-09-16,14,27,0,,9.6,,,,19,76,3,E,13,1021.4,25,68,5,E,13,1017.8
2019-09-17,IDCJDW6051,weather_summary-2019-09-17,weather_summary,2019-09-17,12.5,23.1,0,,7.2,,,,18.1,94,4,N,22,1017.4,22,74,5,SW,22,1016.3
2019-09-18,IDCJDW6051,weather_summary-2019-09-18,weather_summary,2019-09-18,13,21,0,,5.2,,,,19.1,76,6,NE,6,1015.8,20,78,5,E,19,1012.5
2019-09-19,IDCJDW6051,weather_summary-2019-09-19,weather_summary,2019-09-19,10,16,11.2,,8.1,,,,11,84,7,S,20,1020.6,15,70,5,SW,26,1022.2
2019-09-20,IDCJDW6051,weather_summary-2019-09-20,weather_summary,2019-09-20,5,18.9,0,,9.8,,,,15,71,3,S,26,1028.9,,,,,,1026.4
2019-09-21,IDCJDW6051,weather_summary-2019-09-21,weather_summary,2019-09-21,5.4,19.5,0,,10.1,,,,13,78,0,NE,4,1030.8,,,,,,1028.3
2019-09-22,IDCJDW6051,weather_summary-2019-09-22,weather_summary,2019-09-22,7.1,,0,,11.1,,,,13.2,80,1,NE,4,1032.5,,,,,,1029.3
2019-09-23,IDCJDW6051,weather_summary-2019-09-23,weather_summary,2019-09-23,,26.5,0,,10.7,,,,,,,,,1028.6,,,,,,1023.9
2019-09-24,IDCJDW6051,weather_summary-2019-09-24,weather_summary,2019-09-24,12,28.5,0,,11.1,,,,23,59,0,N,15,1019.3,,,,,,1017.7
2019-09-25,IDCJDW6051,weather_summary-2019-09-25,weather_summary,2019-09-25,12,,0,,6.2,,,,14.5,99,8,N,11,1020,22,74,3,W,26,1018.8
2019-09-26,IDCJDW6051,weather_summary-2019-09-26,weather_summary,2019-09-26,,21.1,0,,9.8,,,,,,,,,1021.8,20.5,68,4,SW,15,1020.4
2019-09-27,IDCJDW6051,weather_summary-2019-09-27,weather_summary,2019-09-27,,23.2,0,,11.1,,,,18.5,77,0,E,11,1020.9,22,74,0,SW,30,1018.4
2019-09-28,IDCJDW6051,weather_summary-2019-09-28,weather_summary,2019-09-28,11.5,24.1,0,,11.7,,,,20.2,47,1,NE,9,1021.9,,,,,,1019.5
2019-09-29,IDCJDW6051,weather_summary-2019-09-29,weather_summary,2019-09-29,,,0,,11.2,,,,20.2,74,0,NE,4,1020.4,,,,,,1016.3
2019-09-30,IDCJDW6051,weather_summary-2019-09-30,weather_summary,2019-09-30,,,0,,9.8,,,,,,,,,1017.1,,,,,,1016.7
2019-10-1,IDCJDW6051,weather_summary-2019-10-01,weather_summary,2019-10-01,,25,0,,9.8,,,,,,,,,1022,,,,,,1020
2019-10-2,IDCJDW6051,weather_summary-2019-10-02,weather_summary,2019-10-02,,24,0,,11.1,,,,18,71,3,SW,15,1020.8,23.5,67,2,SSW,22,1019.2
2019-10-3,IDCJDW6051,weather_summary-2019-10-03,weather_summary,2019-10-03,,,0,,9.1,,,,20,72,3,NE,15,1019.1,,,,,,1014.3
2019-10-4,IDCJDW6051,weather_summary-2019-10-04,weather_summary,2019-10-04,,26.6,,,4.7,,,,,,,,,1009.4,15.4,86,6,SW,4,1002
2019-10-5,IDCJDW6051,weather_summary-2019-10-05,weather_summary,2019-10-05,,20.9,9.5,,9.5,,,,14.4,97,6,SW,2,1021.2,,,,,,1021.1
2019-10-6,IDCJDW6051,weather_summary-2019-10-06,weather_summary,2019-10-06,,22,0,,7,,,,14.1,93,8,SE,2,1026,,,,,,1023.3
2019-10-7,IDCJDW6051,weather_summary-2019-10-07,weather_summary,2019-10-07,,,0,,11.5,,,,16.5,75,0,E,28,1026.1,24,65,0,E,6,1021.7
2019-10-8,IDCJDW6051,weather_summary-2019-10-08,weather_summary,2019-10-08,,31,0,,11.5,,,,,,,,,1019.7,30,57,4,SW,11,1015.3
2019-10-9,IDCJDW6051,weather_summary-2019-10-09,weather_summary,2019-10-09,13,30.1,0,,11.6,,,,21,69,2,N,11,1014.8,30,59,1,W,13,1013.9
2019-10-10,IDCJDW6051,weather_summary-2019-10-10,weather_summary,2019-10-10,,23.6,0,,9.2,,,,,,,,,1017.6,,,,,,1017.2
2019-10-11,IDCJDW6051,weather_summary-2019-10-11,weather_summary,2019-10-11,12,21,0,,0,,,,17.8,89,8,E,9,1017.9,19,85,8,SW,22,1016.5
2019-10-12,IDCJDW6051,weather_summary-2019-10-12,weather_summary,2019-10-12,13.5,21.5,2.8,,10.2,,,,16,74,2,S,7,1018.8,,,,,,1016.5
2019-10-13,IDCJDW6051,weather_summary-2019-10-13,weather_summary,2019-10-13,9.5,21.7,0,,11.3,,,,15.8,76,6,N,2,1019.3,,,,,,1016.9
2019-10-14,IDCJDW6051,weather_summary-2019-10-14,weather_summary,2019-10-14,10.7,20.5,0,,10.7,,,,18,73,3,SE,9,1019.7,19.5,74,4,SW,22,1019.2
2019-10-15,IDCJDW6051,weather_summary-2019-10-15,weather_summary,2019-10-15,7.7,19.5,0,,11.5,,,,15,73,3,S,13,1024.5,18.6,70,3,SW,28,1022.7
2019-10-16,IDCJDW6051,weather_summary-2019-10-16,weather_summary,2019-10-16,8.3,22.2,0,,11.9,,,,16,69,1,W,6,1025.8,,,,,,1022.7
2019-10-17,IDCJDW6051,weather_summary-2019-10-17,weather_summary,2019-10-17,9.1,23,0,,11.6,,,,16.1,73,3,S,11,1022.8,22.5,70,2,SW,22,1019.5
2019-10-18,IDCJDW6051,weather_summary-2019-10-18,weather_summary,2019-10-18,11.5,25.8,0,,11.7,,,,18.5,71,6,SE,13,1021.9,25,61,3,SE,15,1018.3
2019-10-19,IDCJDW6051,weather_summary-2019-10-19,weather_summary,2019-10-19,12.5,32.5,0,,11.6,,,,18,75,2,N,4,1017.7,,,,,,1012.8
2019-10-20,IDCJDW6051,weather_summary-2019-10-20,weather_summary,2019-10-20,16.6,25,1.3,,9.9,,,,20.5,86,5,NW,19,1015.5,,,,,,1016.1
2019-10-21,IDCJDW6051,weather_summary-2019-10-21,weather_summary,2019-10-21,12,24,0,,11.1,,,,19,81,2,SW,22,1020.1,23.5,71,0,WSW,26,1018.8
2019-10-22,IDCJDW6051,weather_summary-2019-10-22,weather_summary,2019-10-22,11.9,,0,,12,,,,20.5,75,0,N,4,1019.6,,,,,,1016.5
2019-10-23,IDCJDW6051,weather_summary-2019-10-23,weather_summary,2019-10-23,,,,,8.2,,,,,,,,,1017.8,,,,,,1016.1
2019-10-24,IDCJDW6051,weather_summary-2019-10-24,weather_summary,2019-10-24,,,,,12.2,,,,,,,,,1020.6,,,,,,1020.2
2019-10-25,IDCJDW6051,weather_summary-2019-10-25,weather_summary,2019-10-25,,24.8,,,11.8,,,,,,,,,1022.9,,,,,,1019.8
2019-10-26,IDCJDW6051,weather_summary-2019-10-26,weather_summary,2019-10-26,12,,0,,11.1,,,,20.6,70,2,E,4,1020.9,,,,,,1017.3
2019-10-27,IDCJDW6051,weather_summary-2019-10-27,weather_summary,2019-10-27,,,,,12,,,,,,,,,1014.9,,,,,,1010.7
2019-10-28,IDCJDW6051,weather_summary-2019-10-28,weather_summary,2019-10-28,,,,,9.3,,,,,,,,,1015.1,,,,,,1015.4
2019-10-29,IDCJDW6051,weather_summary-2019-10-29,weather_summary,2019-10-29,,,,,11.6,,,,,,,,,1016.9,,,,,,1012.9
2019-10-30,IDCJDW6051,weather_summary-2019-10-30,weather_summary,2019-10-30,,22.5,,,3.7,,,,,,,,,1009.3,21,76,8,N,56,1005.1
2019-10-31,IDCJDW6051,weather_summary-2019-10-31,weather_summary,2019-10-31,10.7,,11.4,,8.9,,,,16.5,61,6,SW,37,1007.4,16,59,8,SW,46,1008.7
2019-11-1,IDCJDW6051,weather_summary-2019-11-01,weather_summary,2019-11-01,,19.6,,,8,,,,,,,,,1010.6,,,,,,1010.8
2019-11-2,IDCJDW6051,weather_summary-2019-11-02,weather_summary,2019-11-02,11,21.4,18.4,,11.2,,,,15.2,91,2,SW,2,1017.6,,,,,,1018.8
2019-11-3,IDCJDW6051,weather_summary-2019-11-03,weather_summary,2019-11-03,12.3,21.6,0,,8.1,,,,16.1,86,8,NW,2,1024.2,,,,,,1023.1
2019-11-4,IDCJDW6051,weather_summary-2019-11-04,weather_summary,2019-11-04,10.5,27,0,,12.4,,,,20,72,0,NW,15,1025.1,27,40,0,W,11,1022.7
2019-11-5,IDCJDW6051,weather_summary-2019-11-05,weather_summary,2019-11-05,8.8,26,0,,12.6,,,,20.5,73,0,S,11,1025.3,25,57,1,SW,20,1022.7
2019-11-6,IDCJDW6051,weather_summary-2019-11-06,weather_summary,2019-11-06,11,26,0,,12.7,,,,18.1,66,0,S,4,1025,,,,,,1020.8
2019-11-7,IDCJDW6051,weather_summary-2019-11-07,weather_summary,2019-11-07,14.5,29,0,,12.7,,,,20,56,0,SE,4,1022.5,,,,,,1019.1
2019-11-8,IDCJDW6051,weather_summary-2019-11-08,weather_summary,2019-11-08,14,32.5,0,,12.9,,,,20.6,44,0,NW,26,1022.3,31.5,22,0,NE,4,1017.8
2019-11-9,IDCJDW6051,weather_summary-2019-11-09,weather_summary,2019-11-09,20.5,39.4,0,,11.8,,,,27.6,30,8,NE,46,1013.1,,,,,,1007.7
2019-11-10,IDCJDW6051,weather_summary-2019-11-10,weather_summary,2019-11-10,19.9,25,0,,9,,,,21.3,83,8,SE,46,1011.9,,,,,,1012.3
2019-11-11,IDCJDW6051,weather_summary-2019-11-11,weather_summary,2019-11-11,15.8,30.1,0,,11.6,,,,21.7,60,0,N,13,1017,29,35,1,SE,15,1015
2019-11-12,IDCJDW6051,weather_summary-2019-11-12,weather_summary,2019-11-12,14,,0,,12.8,,,,22.5,44,0,NW,15,1022.2,29,33,0,SE,22,1019.6
2019-11-13,IDCJDW6051,weather_summary-2019-11-13,weather_summary,2019-11-13,,36.1,0,,12.7,,,,,,,,,1020.7,35,25,0,SE,28,1016.8
2019-11-14,IDCJDW6051,weather_summary-2019-11-14,weather_summary,2019-11-14,22.1,38.5,0,,12.7,,,,34,27,0, ,Calm,1016.3,37.5,23,0,S,22,1012.6
2019-11-15,IDCJDW6051,weather_summary-2019-11-15,weather_summary,2019-11-15,20.1,38.9,0,,12.5,,,,29.6,38,1,SW,22,1014.4,36.5,30,0,W,11,1011.4
2019-11-16,IDCJDW6051,weather_summary-2019-11-16,weather_summary,2019-11-16,19.4,41.5,0,,12.7,,,,26,51,0,NE,4,1014.2,,,,,,1012.4
2019-11-17,IDCJDW6051,weather_summary-2019-11-17,weather_summary,2019-11-17,,30,0,,10.4,,,,22.5,91,2,SW,2,1016.9,,,,,,1016
2019-11-18,IDCJDW6051,weather_summary-2019-11-18,weather_summary,2019-11-18,17.1,33.5,0,,11.3,,,,26.7,52,0,SW,7,1016.3,32.4,47,7,W,28,1012.4
2019-11-19,IDCJDW6051,weather_summary-2019-11-19,weather_summary,2019-11-19,17.1,26,0,,9.2,,,,22.5,59,8,SW,4,1009.8,23.5,67,8,SW,33,1009.6
2019-11-20,IDCJDW6051,weather_summary-2019-11-20,weather_summary,2019-11-20,14.5,21,0,,12,,,,18.5,55,4,SW,22,1015.5,20,44,2,S,28,1016.8
2019-11-21,IDCJDW6051,weather_summary-2019-11-21,weather_summary,2019-11-21,10,23.5,0,,13.1,,,,19.5,51,0,S,7,1021,22.5,41,0,SW,28,1018.3
2019-11-22,IDCJDW6051,weather_summary-2019-11-22,weather_summary,2019-11-22,13,27.4,0,,9.7,,,,18.8,66,4,N,15,1020.7,26.5,52,0,W,26,1018
2019-11-23,IDCJDW6051,weather_summary-2019-11-23,weather_summary,2019-11-23,16.5,31.3,0,,13.2,,,,17.8,98,2,NE,4,1019,,,,,,1015.2
2019-11-24,IDCJDW6051,weather_summary-2019-11-24,weather_summary,2019-11-24,16.7,29.5,0,,10.2,,,,18,90,3,S,7,1015.4,,,,,,1013.4
2019-11-25,IDCJDW6051,weather_summary-2019-11-25,weather_summary,2019-11-25,17.1,30.1,0,,13,,,,24.5,43,0,E,9,1018.1,,,,,,1015.6
2019-11-26,IDCJDW6051,weather_summary-2019-11-26,weather_summary,2019-11-26,15.5,34,0,,13.1,,,,26,39,0,NW,6,1017,33,21,0,SW,15,1012.3
2019-11-27,IDCJDW6051,weather_summary-2019-11-27,weather_summary,2019-11-27,18,34,0,,12.6,,,,24,33,0,E,9,1015.7,33.5,97,0,SW,15,1012.2
2019-11-28,IDCJDW6051,weather_summary-2019-11-28,weather_summary,2019-11-28,18,30.5,0,,12.8,,,,22,82,0,SE,19,1018.6,30.5,69,0,SW,11,1015.8
2019-11-29,IDCJDW6051,weather_summary-2019-11-29,weather_summary,2019-11-29,15,28.4,0,,13.3,,,,24.5,47,3,SE,15,1024.6,23,100,0,SE,37,1021.6
2019-11-30,IDCJDW6051,weather_summary-2019-11-30,weather_summary,2019-11-30,14.5,30,0,,13.2,,,,18.5,81,0,E,22,1027.9,,,,,,1023.6
2019-12-1,IDCJDW6051,weather_summary-2019-12-01,weather_summary,2019-12-01,15.1,33.5,0,,13.3,,,,20.3,81,0,E,9,1026.1,,,,,,1021.5
2019-12-2,IDCJDW6051,weather_summary-2019-12-02,weather_summary,2019-12-02,19.5,36,0,,13.2,,,,26.5,76,0,S,6,1019.8,34.5,65,0,NW,11,1015.7
2019-12-3,IDCJDW6051,weather_summary-2019-12-03,weather_summary,2019-12-03,24,40.5,0,,13.2,,,,33.5,68,0,NE,30,1011.8,39,62,2,SW,26,1009.5
2019-12-4,IDCJDW6051,weather_summary-2019-12-04,weather_summary,2019-12-04,20.6,,0,,12.8,,,,31.2,74,1,SW,4,1012.3,37,66,2,SW,22,1011.3
2019-12-5,IDCJDW6051,weather_summary-2019-12-05,weather_summary,2019-12-05,,41,0,,13.1,,,,,,,,,1014.8,40.3,60,0,SE,15,1010.9
2019-12-6,IDCJDW6051,weather_summary-2019-12-06,weather_summary,2019-12-06,25,40.1,0,,9.7,,,,31.5,72,7,NW,26,1008.4,34.1,73,7,NE,20,1006
2019-12-7,IDCJDW6051,weather_summary-2019-12-07,weather_summary,2019-12-07,19,27.2,0,,8.6,,,,25.5,88,8,NW,15,1010,,,,,,1011
2019-12-8,IDCJDW6051,weather_summary-2019-12-08,weather_summary,2019-12-08,15.4,28,1,,13.2,,,,21.1,80,8,S,15,1018.9,,,,,,1018.8
2019-12-9,IDCJDW6051,weather_summary-2019-12-09,weather_summary,2019-12-09,15,31,0,,13.2,,,,24,70,0,E,15,1022.1,,,,,,1018.8
2019-12-10,IDCJDW6051,weather_summary-2019-12-10,weather_summary,2019-12-10,16.8,37,0,,12.5,,,,26.1,62,0,SW,11,1019.3,35.5,45,2,S,22,1014.9
2019-12-11,IDCJDW6051,weather_summary-2019-12-11,weather_summary,2019-12-11,21,38,0,,12.1,,,,29,61,0,NE,37,1017.3,,,,,,1014.3
2019-12-12,IDCJDW6051,weather_summary-2019-12-12,weather_summary,2019-12-12,21,,0,,13.2,,,,29,61,0,E,19,1018.3,38,42,0,S,22,1015.5
2019-12-13,IDCJDW6051,weather_summary-2019-12-13,weather_summary,2019-12-13,,,,,13.2,,,,,,,,,1016.4,39.5,40,0,NE,7,1013.4
2019-12-14,IDCJDW6051,weather_summary-2019-12-14,weather_summary,2019-12-14,,40.5,0,,13.2,,,,,,,,,1011.3,,,,,,1008.6
2019-12-15,IDCJDW6051,weather_summary-2019-12-15,weather_summary,2019-12-15,,,0,,12.8,,,,32.3,53,0,NE,2,1005.7,,,,,,1004.1
2019-12-16,IDCJDW6051,weather_summary-2019-12-16,weather_summary,2019-12-16,,,0,,13,,,,,,,,,1006.9,,,,,,1005.8
2019-12-17,IDCJDW6051,weather_summary-2019-12-17,weather_summary,2019-12-17,21.2,36.5,0,,12.3,,,,30.5,57,1,SW,6,1010.9,33.6,53,2,SW,22,1009.8
2019-12-18,IDCJDW6051,weather_summary-2019-12-18,weather_summary,2019-12-18,23.2,35.5,0,,13.2,,,,29.3,41,0,NE,13,1010.6,32.5,37,0,SW,19,1009
2019-12-19,IDCJDW6051,weather_summary-2019-12-19,weather_summary,2019-12-19,20,,0,,7.6,,,,24.5,68,7,NW,19,1010.6,23.6,51,6,W,9,1012.4
2019-12-20,IDCJDW6051,weather_summary-2019-12-20,weather_summary,2019-12-20,17.1,27.5,0,,7.6,,,,22,62,7,S,4,1018.6,26,54,0,SW,6,1016.9
2019-12-21,IDCJDW6051,weather_summary-2019-12-21,weather_summary,2019-12-21,16.6,34.1,0,,12.9,,,,24,53,0,SW,2,1015.7,,,,,,1012.1
2019-12-22,IDCJDW6051,weather_summary-2019-12-22,weather_summary,2019-12-22,15.9,29.6,0,,7.8,,,,21.1,74,7,S,11,1013.4,,,,,,1012.2
2019-12-23,IDCJDW6051,weather_summary-2019-12-23,weather_summary,2019-12-23,18.7,32.8,0,,12.9,,,,26,54,1,S,2,1014.4,31.9,44,5,WSW,4,1013
2019-12-24,IDCJDW6051,weather_summary-2019-12-24,weather_summary,2019-12-24,18.5,,0,,12.7,,,,25.7,47,2,SW,2,1016.6,33.4,46,3,WSW,4,1013.7
2019-12-25,IDCJDW6051,weather_summary-2019-12-25,weather_summary,2019-12-25,,36.6,0,,9.4,,,,,,,,,1013.6,,,,,,1010.9
2019-12-26,IDCJDW6051,weather_summary-2019-12-26,weather_summary,2019-12-26,20.1,30,0,,9.8,,,,25.3,88,5,N,11,1013.5,,,,,,1012.3
2019-12-27,IDCJDW6051,weather_summary-2019-12-27,weather_summary,2019-12-27,,28.5,0,,13,,,,23.6,66,1,SSE,4,1016.8,28.2,43,1,SW,7,1015.3
2019-12-28,IDCJDW6051,weather_summary-2019-12-28,weather_summary,2019-12-28,14,29.3,0,,13.3,,,,21,67,0,S,9,1016.8,,,,,,1014.4
2019-12-29,IDCJDW6051,weather_summary-2019-12-29,weather_summary,2019-12-29,17.8,26.5,0,,11.5,,,,22.1,77,3,NW,6,1013.2,,,,,,1013.4
2019-12-30,IDCJDW6051,weather_summary-2019-12-30,weather_summary,2019-12-30,15.6,26.1,0,,12.3,,,,20.6,52,1,SSW,2,1018.7,24.8,44,0,SSW,6,1017.3
2019-12-31,IDCJDW6051,weather_summary-2019-12-31,weather_summary,2019-12-31,15.3,30.6,0,,13.2,,,,23,50,0,NE,2,1017.6,29.6,39,0,SSW,6,1014
2020-01-1,IDCJDW6051,weather_summary-2020-01-01,weather_summary,2020-01-01,16.1,,0,,13.2,,,,27,44,0,,,1013,,,,,,1010.6
2020-01-2,IDCJDW6051,weather_summary-2020-01-02,weather_summary,2020-01-02,,25,,,9.1,,,,,,,,,1013.5,23.5,64,7,SSW,26,1012.7
2020-01-3,IDCJDW6051,weather_summary-2020-01-03,weather_summary,2020-01-03,13.1,23.4,0.8,,11.9,,,,20.5,86,4,SW,20,1019.9,22,47,4,SW,28,1017.2
2020-01-4,IDCJDW6051,weather_summary-2020-01-04,weather_summary,2020-01-04,12.5,27.8,0,,13.2,,,,17.5,59,0,NE,9,1022.1,,,,,,1017.3
2020-01-5,IDCJDW6051,weather_summary-2020-01-05,weather_summary,2020-01-05,14,35.5,0,,13.2,,,,26.5,36,0,NE,6,1014.2,,,,,,1011.3
2020-01-6,IDCJDW6051,weather_summary-2020-01-06,weather_summary,2020-01-06,16.7,34.5,0,,13.3,,,,29,37,0,SW,13,1011.5,33.5,28,0,W,11,1009.5
2020-01-7,IDCJDW6051,weather_summary-2020-01-07,weather_summary,2020-01-07,19.1,33,0,,13,,,,27.5,41,0,SW,35,1007.7,31.5,33,0,W,15,1006.1
2020-01-8,IDCJDW6051,weather_summary-2020-01-08,weather_summary,2020-01-08,17,30.5,0,,13.2,,,,26.5,56,0,S,22,1007.9,28,42,0,S,30,1006.9
2020-01-9,IDCJDW6051,weather_summary-2020-01-09,weather_summary,2020-01-09,17,,0,,12.7,,,,24,53,0,S,19,1013,27,47,0,S,19,1011.2
2020-01-10,IDCJDW6051,weather_summary-2020-01-10,weather_summary,2020-01-10,,33.4,0,,13.1,,,,,,,,,1019.6,,,,,,1016.7
2020-01-11,IDCJDW6051,weather_summary-2020-01-11,weather_summary,2020-01-11,18.2,36.5,0,,13.1,,,,24.6,49,0,SE,11,1017.2,,,,,,1012
2020-01-12,IDCJDW6051,weather_summary-2020-01-12,weather_summary,2020-01-12,19.5,34.1,0,,13.2,,,,29.6,46,0,NE,4,1010.9,,,,,,1010.1
2020-01-13,IDCJDW6051,weather_summary-2020-01-13,weather_summary,2020-01-13,18.9,,0,,13.1,,,,24.6,58,0,SE,2,1013.7,35.5,33,0,SSE,4,1009.4
2020-01-14,IDCJDW6051,weather_summary-2020-01-14,weather_summary,2020-01-14,,36.5,0,,13.1,,,,,,,,,1011.2,,,,,,1008.5
2020-01-15,IDCJDW6051,weather_summary-2020-01-15,weather_summary,2020-01-15,20,34.5,0,,12.4,,,,26,62,2,E,19,1013.7,32.5,50,0,SE,7,1011
